h1,p
Código Penal AguascalientesArtículo 101. Aborto doloso,"Cuando falte tal consentimiento de la mujer embarazada, la prisión será de 3 a 6 años y de 70 a 120 días multa, y al pago total de la reparación de los daños y perjuicios ocasionados; si mediare violencia física o moral sobre la mujer embarazada, se impondrán al responsable de 6 a 8 años de prisión y de 80 a 150 días multa, y al pago total de la reparación de los daños y perjuicios ocasionados."
Código Penal AguascalientesArtículo 101. Aborto doloso,"Si la mujer embarazada consiente que otro realice el Aborto Doloso en su persona, se le aplicarán de 6 meses a 1 año de prisión y de 40 a 80 días multa, y al pago total de la reparación de los daños y perjuicios ocasionados"
Código Penal AguascalientesArtículo 102. Suspensión en caso de aborto,"Cuando el Aborto Doloso lo realice un médico, cirujano o partero, además de la punibilidad establecida en el Artículo anterior, se le suspenderá de 2 a 5 años en el ejercicio de su profesión u oficio"
Código Penal AguascalientesArtículo 103. Exclusión de aborto doloso,"No se considerará Aborto Doloso, y por ende no se aplicará pena o medida de seguridad alguna cuando de no practicarse el aborto, la mujer embarazada corra grave peligro de muerte, a juicio del médico que la asista y de otro a quien éste consulte, si ello fuere posible y la demora en consultar no implique peligro."
Código Penal AguascalientesArtículo 103. Exclusión de aborto doloso,"Cuando el embarazo haya sido causado por hecho punible tipificado como violación en cualquier etapa del procedimiento penal iniciado al efecto, a petición de la víctima, la autoridad judicial podrá autorizar la realización del aborto, para que sea practicado por personal médico especializado, sin que ello conlleve las consecuencias jurídicas descritas en el presente capítulo."
Código Penal AguascalientesArtículo 104. Lesiones dolosas,"Las Lesiones Dolosas consisten en alterar la salud o provocar cualquier otro daño en el cuerpo humano, por utilización de cualquier agente externo."
Código Penal AguascalientesArtículo 104. Lesiones dolosas,Al responsable de Lesiones Dolosas se le aplicarán:
Código Penal AguascalientesArtículo 104. Lesiones dolosas,"I. De 3 a 6 meses de prisión y de 10 a 50 días multa, y al pago total de la reparación de los daños y perjuicios ocasionados, si no ponen en peligro la vida y tardan en sanar hasta 15 días;"
Código Penal AguascalientesArtículo 104. Lesiones dolosas,"II. De 6 meses a 2 años de prisión y de 20 a 100 días multa, y al pago total de la reparación de los daños y perjuicios ocasionados, si no ponen en peligro la vida y tardan en sanar más de 15 días;"
Código Penal AguascalientesArtículo 104. Lesiones dolosas,"III. De 1 a 4 años de prisión y de 20 a 200 días multa, y al pago total de la reparación de los daños y perjuicios ocasionados, si no ponen en peligro la vida y dejan al sujeto pasivo cicatriz notable y permanente;"
Código Penal AguascalientesArtículo 104. Lesiones dolosas,"IV. De 1 a 5 años de prisión y de 25 a 250 días multa, y al pago total de la reparación de los daños y perjuicios ocasionados, si no ponen en peligro la vida y le provocan al sujeto pasivo la disminución de facultades o el normal funcionamiento de órganos o miembros, o le producen incapacidad temporal de hasta un año para trabajar;"
Código Penal AguascalientesArtículo 104. Lesiones dolosas,"V. De 2 a 8 años de prisión y de 30 a 300 días multa, y al pago total de la reparación de los daños y perjuicios ocasionados, si no ponen en peligro la vida y le provocan al sujeto pasivo la pérdida definitiva de cualquier función orgánica, miembro, órgano o facultad, o le causan una enfermedad incurable o deformidad incorregible, o incapacidad de más de un año para trabajar; y"
Código Penal AguascalientesArtículo 104. Lesiones dolosas,"VI. De 3 a 7 años de prisión y de 25 a 150 días multa, y al pago total de la reparación de los daños y perjuicios ocasionados, si ponen en peligro la vida, independientemente del tiempo que tarde en sanar;"
Código Penal AguascalientesArtículo 104. Lesiones dolosas,"Si las Lesiones Dolosas provocaran varias de las consecuencias aquí establecidas, sólo se tomará en cuenta la punibilidad prevista para las de mayor gravedad."
Código Penal AguascalientesArtículo 104. Lesiones dolosas,"Si las Lesiones Dolosas que provocan las consecuencias establecidas en las Fracciones III, IV y V de este Artículo, pusieran en peligro la vida de la víctima, la punibilidad se aumenta hasta en una mitad más respecto de los mínimos y máximos señalados en cada fracción."
Código Penal AguascalientesArtículo 105. Lesiones en riña,"Si las Lesiones Dolosas fueron por motivo de Riña, se aplicará a los responsables la mitad del mínimo y máximo establecidos en las diversas Fracciones del Artículo anterior, si se trata del provocado, hasta las dos terceras partes de tales mínimo y máximo, si se trata de provocador"
Código Penal AguascalientesArtículo 106. Riña,"Por Riña se entiende la contienda de obra entre dos o más personas, o la agresión física de una parte y la disposición material para contender de la otra, con el propósito de dañarse recíprocamente"
Código Penal AguascalientesArtículo 107. Homicidio y lesiones calificados,"El Homicidio Doloso y las Lesiones Dolosas serán considerados como calificados,"
Código Penal AguascalientesArtículo 107. Homicidio y lesiones calificados,I. Cuando se cometan con:
Código Penal AguascalientesArtículo 107. Homicidio y lesiones calificados,a) Premeditación;
Código Penal AguascalientesArtículo 107. Homicidio y lesiones calificados,b) Ventaja;
Código Penal AguascalientesArtículo 107. Homicidio y lesiones calificados,c) Alevosía;
Código Penal AguascalientesArtículo 107. Homicidio y lesiones calificados,d) Traición; o
Código Penal AguascalientesArtículo 107. Homicidio y lesiones calificados,e) Brutal ferocidad.
Código Penal AguascalientesArtículo 107. Homicidio y lesiones calificados,II. Cuando la víctima sea menor de 15 años de edad;
Código Penal AguascalientesArtículo 107. Homicidio y lesiones calificados,"III. Cuando la víctima se dedique al ejercicio de las labores periodísticas, y el resultado se provoque con motivo del ejercicio de su profesión;"
Código Penal AguascalientesArtículo 107. Homicidio y lesiones calificados,IV. Cuando el resultado sea asociado a la discriminación de la víctima;
Código Penal AguascalientesArtículo 107. Homicidio y lesiones calificados,"V. Cuando el responsable tenga o haya tenido relación de pareja o de carácter conyugal, sea pariente consanguíneo en línea recta, ascendiente o descendiente sin limitación de grado, pariente colateral consanguíneo o afín hasta el cuarto grado, con la víctima;"
Código Penal AguascalientesArtículo 107. Homicidio y lesiones calificados,"VI. Cuando la víctima esté sujeta a patria potestad, tutela, curatela o custodia del responsable; o"
Código Penal AguascalientesArtículo 107. Homicidio y lesiones calificados,VII. SE DEROGA.
Código Penal AguascalientesArtículo 107. Homicidio y lesiones calificados,"En el caso de Homicidio Doloso Calificado a que se refieren las Fracciones I a la III, se aplicará al responsable de 15 a 40 años de prisión, de 150 a 500 días multa y pago total de la reparación de los daños y perjuicios ocasionados. En el caso de las Fracciones IV a la VI se aplicará al responsable de 20 a 50 años de prisión, de 500 a 1000 días de multa y pago total de la reparación de los daños y perjuicios ocasionados, privándose además al responsable de los derechos familiares que le correspondan, incluidos los de derecho sucesorio."
Código Penal AguascalientesArtículo 107. Homicidio y lesiones calificados,"Si las Lesiones Dolosas son Calificadas, la punibilidad establecida en el Artículo 104 se aumentará hasta en dos terceras partes en sus mínimos y máximos, privándose además al responsable de los derechos familiares que le correspondan, incluidos los de derecho sucesorio, en tratándose de los supuestos de las Fracciones V y VI del presente Artículo"
Código Penal AguascalientesArtículo 108. Premeditación,"Existe Premeditación siempre que el inculpado provoque dolosamente el resultado lesivo, después de haber reflexionado sobre el hecho a realizar con ponderación de los factores que concurran en su realización"
Código Penal AguascalientesArtículo 109. Ventaja,"Existe Ventaja cuando el inculpado provoca el resultado lesivo empleando medios o aprovechando circunstancias o situaciones tales que imposibiliten la defensa de la víctima y aquél no corra riesgo alguno de ser muerto o lesionado, con conocimiento de esta situación."
Código Penal AguascalientesArtículo 110. Alevosía,"Existe Alevosía cuando el inculpado sorprende dolosamente a la víctima de forma imprevista o empleando asechanza u otro medio que no le dé oportunidad a ésta para que se defienda, ni evitar el mal que se le quiera hacer."
Código Penal AguascalientesArtículo 111. Traición,"Existe Traición cuando el inculpado provoca el resultado de lesión, quebrantando la confianza o seguridad que expresamente había prometido a la víctima, o la tácita que debía existir por sus relaciones de parentesco, gratitud, amistad o cualquiera otra causa que inspire tal confianza o seguridad"
